date,away_team,home_team,p_home_win,p_away_win,is_fallback
2024-12-25,SAS,NYK,0.594,0.406,False
2024-12-25,DEN,PHX,0.5221,0.4779,False
2024-12-25,PHI,BOS,0.6507,0.3493,False
2024-12-25,MIN,DAL,0.6364,0.3636,False
2024-12-25,LAL,GSW,0.4232,0.5768,False
2024-12-26,DET,SAC,0.5264,0.4736,False
2024-12-26,TOR,MEM,0.7504,0.2496,False
2024-12-26,UTA,POR,0.4794,0.5206,False
2024-12-26,OKC,IND,0.6279,0.3721,False
2024-12-26,MIA,ORL,0.607,0.393,False
2024-12-26,HOU,NOP,0.4332,0.5668,False
2024-12-26,CHI,ATL,0.5547,0.4453,False
2024-12-26,CHA,WAS,0.6116,0.3884,False
2024-12-26,BKN,MIL,0.5512,0.4488,False
2024-12-27,IND,BOS,0.5412,0.4588,False
2024-12-27,MEM,NOP,0.492,0.508,False
2024-12-27,GSW,LAC,0.5785,0.4215,False
2024-12-27,CLE,DEN,0.5267,0.4733,False
2024-12-27,MIN,HOU,0.6672,0.3328,False
2024-12-27,SAS,BKN,0.4654,0.5346,False
2024-12-27,NYK,ORL,0.5472,0.4528,False
2024-12-27,DAL,PHX,0.3937,0.6063,False
2024-12-28,OKC,CHA,0.4513,0.5487,False
2024-12-28,DET,DEN,0.5805,0.4195,False
2024-12-28,MIL,CHI,0.376,0.624,False
2024-12-28,PHX,GSW,0.5927,0.4073,False
2024-12-28,NYK,WAS,0.4456,0.5544,False
2024-12-28,MIA,ATL,0.541,0.459,False
2024-12-28,DAL,POR,0.4035,0.5965,False
2024-12-28,SAC,LAL,0.6454,0.3546,False
2024-12-28,PHI,UTA,0.6194,0.3806,False
2024-12-29,IND,BOS,0.5491,0.4509,False
2024-12-29,SAS,MIN,0.5757,0.4243,False
2024-12-29,MEM,OKC,0.5752,0.4248,False
2024-12-29,MIA,HOU,0.5983,0.4017,False
2024-12-29,BKN,ORL,0.6061,0.3939,False
2024-12-29,ATL,TOR,0.473,0.527,False
